state,fips,stayhome,schools,nonessential,travel
Alabama,1,,2020-03-19,2020-03-28,
Alaska,2,2020-03-28,2020-03-16,2020-03-28,2020-03-28
Arizona,4,2020-03-30,2020-03-16,,
California,6,2020-03-19,2020-03-19,2020-03-19,
Illinois,17,2020-03-21,2020-03-17,2020-03-21,
Florida,12,2020-04-03,2020-03-17,,
Louisiana,22,2020-03-23,2020-03-16,2020-03-22,
Massachusetts,25,,2020-03-17,2020-03-24,
Michigan,26,2020-03-24,2020-03-16,2020-03-23,
New Jersey,34,2020-03-21,2020-03-18,2020-03-21,
New York,36,2020-03-22,2020-03-18,2020-03-20,
Pennsylvania,42,2020-04-01,2020-03-17,2020-03-23,
Tennessee,47,,2020-03-20,2020-03-30,
Washington,53,2020-03-23,2020-03-13,2020-03-25,
